# started on Tue Jun  6 10:47:47 2023


 Performance counter stats for process id '2098088' (10 runs):

     1,338,926,569      branches                  #  143.520 M/sec                    ( +- 55.08% )  (99.47%)
         5,702,959      branch-misses             #    0.17% of all branches          ( +- 50.58% )  (99.70%)
        62,658,131      bus-cycles                #    6.716 M/sec                    ( +- 48.02% )  (99.73%)
        33,873,032      cache-misses              #   16.870 % of all cache refs      ( +- 35.75% )  (99.77%)
        93,584,089      cache-references          #   10.031 M/sec                    ( +- 31.91% )  (99.06%)
    11,116,265,801      cpu-cycles                #    1.192 GHz                      ( +- 26.47% )  (99.38%)
    31,626,441,989      instructions              #    1.55  insn per cycle           ( +- 22.79% )  (99.87%)
     6,945,530,496      ref-cycles                #  744.495 M/sec                    ( +- 25.47% )  (97.68%)
               486      cgroup-switches           #   52.095 /sec                     ( +-  3.04% )
            18,486      context-switches          #    1.982 K/sec                    ( +-  0.08% )
          9,319.10 msec cpu-clock                 #    0.311 CPUs utilized            ( +-  0.06% )
                 3      cpu-migrations            #    0.322 /sec                     ( +- 21.34% )
          9,323.88 msec task-clock                #    0.311 CPUs utilized            ( +-  0.06% )
   330,019,998,220 ns   duration_time             #   35.375 G/sec                    ( +-  0.00% )
     1,095,235,016      L1-dcache-load-misses     #    8.85% of all L1-dcache accesses  ( +- 23.44% )  (99.02%)
    11,018,468,240      L1-dcache-loads           #    1.181 G/sec                    ( +- 13.52% )  (99.38%)
     7,623,890,593      L1-dcache-stores          #  817.209 M/sec                    ( +-  7.07% )  (97.29%)
        97,033,133      L1-icache-load-misses                                         ( +-  7.60% )  (98.40%)
         4,715,802      LLC-load-misses           #  140.90% of all LL-cache accesses  ( +-  7.94% )  (94.19%)
         8,932,634      LLC-loads                 #  957.493 K/sec                    ( +-  8.47% )  (92.20%)
         4,929,735      LLC-store-misses          #  528.421 K/sec                    ( +- 14.63% )  (24.43%)
           901,389      LLC-stores                #   96.620 K/sec                    ( +- 86.47% )  (74.05%)
         1,174,524      branch-load-misses        #  125.898 K/sec                    ( +- 51.89% )  (91.04%)
       389,327,434      branch-loads              #   41.732 M/sec                    ( +- 58.03% )  (92.44%)
            69,726      dTLB-load-misses          #    0.00% of all dTLB cache accesses  ( +- 72.35% )  (92.86%)
       992,151,830      dTLB-loads                #  106.349 M/sec                    ( +- 71.45% )  (93.71%)
           126,179      dTLB-store-misses         #   13.525 K/sec                    ( +- 67.43% )  (92.33%)
       728,471,967      dTLB-stores               #   78.085 M/sec                    ( +- 69.50% )  (95.07%)
            54,751      iTLB-load-misses                                              ( +- 75.90% )  (86.39%)
       499,292,980      mem-stores                #   53.519 M/sec                    ( +- 68.56% )  (94.14%)
     1,296,053,360      ref-cycles                #  138.925 M/sec                    ( +- 46.08% )  (97.49%)
    12,832,072,657      slots                     #    1.375 G/sec                    ( +- 47.87% )  (97.84%)

        30.0017693 +- 0.0000629 seconds time elapsed  ( +-  0.00% )

